Singer ID,Singer name,Singer score,Song name,lyrics,Song score
1,Adele,0.19270887212967192,That Terrific Rainbow," My life had no color, before I met you. What could have been duller, the times I went through. You ...",0.004472693032015066
1,Adele,0.19270887212967192,Steady As She Goes, Find yourself a girl. And settle down. Live a simple life. In a quiet town. Steady as she goes. (St...,0.001912484700122399
1,Adele,0.19270887212967192,Lay Me Down," I would never lie to you unless you tell me to. Every part of me, all my words to hold. And hold ag...",0.003035617916891527
1,Adele,0.19270887212967192,Last Nite," Last night she said. Oh, baby. I feel so down. Oh, and turned me off. When I feel left out. So I. I...",0.0038177339901477834
1,Adele,0.19270887212967192,Why Do You Love Me," Why do you love me, do you love me?. Why do you love me, do you love me?. Why do you love me, do yo...",0.010949868073878629
1,Adele,0.19270887212967192,Set Fire To The Rain Remix," I should have laughed but no rest. Cold night mess, but no sweat. The reality of her I can't stand ...",0.001076555023923445
1,Adele,0.19270887212967192,Promise This," In my beginning there was nothing. So empty in the space between. And you came in, turned the light...",0.004090126291618829
1,Adele,0.19270887212967192,Love In The Dark, Take your eyes off me so I can leave. I'm far too ashamed to do it with you watching me. This is ne...,0.001632801161103048
1,Adele,0.19270887212967192,Can't Let Go," When did it go wrong, I will never know. I have loved you all my life. How did it slow down, I go r...",-0.0008285004142502071
1,Adele,0.19270887212967192,River Lea, Everybody tells me it's 'bout time that I moved on. And I need to learn to lighten up and learn how...,-0.004823369565217391
1,Adele,0.19270887212967192,I Miss You, I want every single piece of you. I want your heaven and your oceans too. Treat me soft but touch m...,-0.0005362625727898359
1,Adele,0.19270887212967192,Remedy, I remember all of the things that I thought I wanted to be. So desperate to find a way out of my wo...,0.005648535564853557
1,Adele,0.19270887212967192,Send My Love (To Your New Lover), This was all you. None of it me. You put your hands all . Over my body and told me. Mmm... you told...,0.007975941422594142
1,Adele,0.19270887212967192,Water Under the Bridge, If you're not the one for me. Then how come I can bring you to your knees?. If you're not the one f...,0.0018627954779033915
1,Adele,0.19270887212967192,When We Were Young, Everybody loves the things you do. From the way you talk. To the way you move. Everybody here is wa...,0.004153050108932462
1,Adele,0.19270887212967192,I Can't Make You Love Me," Turn down the lights, turn down the bed. Turn down these voices inside my head. Lay down with me, t...",0.008771929824561403
1,Adele,0.19270887212967192,Million Years Ago," I only wanted to have fun. Learning to fly, learning to run. I let my heart decide the way. When I ...",0.003808073115003808
1,Adele,0.19270887212967192,Skyfall, This is the end. Hold your breath and count to ten. Feel the earth move and then. Hear my heart bur...,0.0032679738562091504
1,Adele,0.19270887212967192,Lovesong, Whenever I'm alone with you. You make me feel like I am home again. Whenever I'm alone with you. Yo...,0.014961915125136017
1,Adele,0.19270887212967192,Hello," Hello, it's me. I was wondering if after all these years. You'd like to meet. To go over everything...",-0.0019407705577918343
1,Adele,0.19270887212967192,Hiding My Heart," This is how the story went:. I met someone by accident. Who blew me away, blew me away. And it was ...",-0.0010215453194650818
1,Adele,0.19270887212967192,If It Hadn't Been For Love, Never woulda hitchhiked to Birmingham if it hadn't been for love. Never woulda caught the train to ...,0.00933801775147929
1,Adele,0.19270887212967192,I Found A Boy," I thought I told you he'd be home soon. Couldn't help myself, you're too good to be true. I fall sh...",0.0034147350993377484
1,Adele,0.19270887212967192,One and Only," You've been on my mind, I grow fonder every day. Lose myself in time just thinking of your face. Go...",0.005862533692722372
1,Adele,0.19270887212967192,I'll Be Waiting, Hold me closer one more time. Say that you love me in your last goodbye. Please forgive me for my s...,0.00691699604743083
1,Adele,0.19270887212967192,Someone Like You, I heard that you're settled down. That you found a girl and you're married now. I heard that your d...,0.0031482541499713796
1,Adele,0.19270887212967192,Set Fire to the Rain," I let it fall, my heart. And as it fell, you rose to claim it. It was dark, and I was over. Until y...",-0.0014588452088452088
1,Adele,0.19270887212967192,Take It All," Didn't I give it all, tried my best?. Gave you everything I had, everything and no less. Didn't I d...",0.012032085561497326
1,Adele,0.19270887212967192,He Won't Go, Some say. I'll be better without you. But they don't know you like I do. Or at least the sides I th...,0.006722383720930232
1,Adele,0.19270887212967192,Don't You Remember," When will I see you again?. You left with no goodbye, not a single word was said. No final kiss to ...",0.003344895936570862
1,Adele,0.19270887212967192,Turning Tables, Close enough to start a war. All that I have is on the floor. God only knows what we're fighting fo...,-0.0005093724531377343
1,Adele,0.19270887212967192,Now and Then, Sometimes the hole you left hurts my heart so bad. It cuts through the deepest parts of me. And fil...,0.010638297872340425
1,Adele,0.19270887212967192,"That's It, I Quit, I'm Movin' On", When we used. To say goodnight. I'd always kiss. And hold you tight. But lately. You don't seem. To...,-0.0009000900090009
1,Adele,0.19270887212967192,Many Shades Of Black," Go ahead, go ahead and. Smash it on the floor. Take whatever is left. And take it with you out the ...",-0.00502130249543518
1,Adele,0.19270887212967192,Fool That I Am, Fool that I am for falling in love with you. And fool that I am for thinking you loved me too. You ...,0.011652542372881356
1,Adele,0.19270887212967192,Painting Pictures, Painting pictures with my mind. Making memories using my eyes. Filling up my heart with golden stor...,-0.0010479041916167664
1,Adele,0.19270887212967192,Rumour Has It," Oooh, oooh, oooh, oooh. She, she ain't real. She ain't gon' be able to love you like I will. She is...",0.0019552319309600863
1,Adele,0.19270887212967192,Rolling in the Deep, There's a fire starting in my heart. Reaching a fever pitch and it's bringin' me out the dark. Fina...,0.002963165572574763
1,Adele,0.19270887212967192,Hometown Glory, I've been walking in the same way as I did. Missing all the cracks in the pavement. And tutting my ...,0.007386888273314866
1,Adele,0.19270887212967192,Make You Feel My Love, When the rain is blowing in your face. And the whole world is on your case. I could offer you a war...,0.008586711711711712
1,Adele,0.19270887212967192,First Love," So little to say, but so much time. Despite my empty mouth, the words are in my mind. Please wear t...",0.01270933014354067
1,Adele,0.19270887212967192,Crazy For You, Found myself today singing out your name. You said I'm crazy. If I am I'm crazy for you. Sometimes ...,0.000421822272215973
1,Adele,0.19270887212967192,Right as Rain, Who wants to be right as rain. It's better when something is wrong. You get excitement in your bone...,-0.004714285714285714
1,Adele,0.19270887212967192,My Same, You're set in stone and I never give in . I think you're stubborn 'cept you're always softening . Y...,8.986340762041697e-05
1,Adele,0.19270887212967192,Cold Shoulder, You say it's all in my head. And the things I think just don't make sense. So where you been then? ...,0.0085949177877429
1,Adele,0.19270887212967192,Melt My Heart To Stone," Right under my feet, there's air made of bricks. Pulls me down, turns me weak for you. I find mysel...",0.006021409455842997
1,Adele,0.19270887212967192,Chasing Pavements," I've made up my mind, don't need to think it over. If I'm wrong I am right, don't need to look no f...",0.0039941902687000725
1,Adele,0.19270887212967192,Best for Last," Wait, do you see my heart on my sleeve? . It's been there for days on end and . It's been waiting f...",0.0010126582278481013
1,Adele,0.19270887212967192,Tired, Hold my hand while you cut me down. It had only just begun but now its over now. And your in the he...,0.0028390113560454243
1,Adele,0.19270887212967192,Daydreamer," Daydreamer, sitting on the seat . Soaking up the sun, he is a real lover. Making up the past. And f...",0.004427083333333333
2,Ariana Grande,0.3020494196292127,Voodoo Love," I'm gonna mix a potion up,. make a special drink for you,. mmmm hmmm.... Just a little sip and you'...",0.008898776418242492
2,Ariana Grande,0.3020494196292127,Suddenly Frankie, Frankie:. Lift up your head. Wash off your mascara. Here take my Kleenex. Wipe that lipstick away. ...,0.0016171993911719938
2,Ariana Grande,0.3020494196292127,Stick Around," [Graham]. There you come with your big, brown eyes and I'm so sure you got me mesmerized. . So sure...",0.007946210268948655
2,Ariana Grande,0.3020494196292127,Private Party," I'm having a private party. Ain't no body here but me, my angels, and my guitar singin' . Baby look...",0.003610397946084724
2,Ariana Grande,0.3020494196292127,Pink Champagne, Just For Now. Just for now. Just for now. Just for now. Just for now. Just for now. Just for now. H...,0.010056008146639511
2,Ariana Grande,0.3020494196292127,O Holy Night, The stars are brightly shining. It is the night of the dear Savior's birth. Long lay the world in s...,0.0004098360655737705
2,Ariana Grande,0.3020494196292127,Love The Way You Lie, On the first page of our story. The future seemed so bright. Then this thing turned out so evil. Do...,0.007326007326007326
2,Ariana Grande,0.3020494196292127,Higher, Been runnin' round in circles. Tryna find the end. Bumped into this shy guy. While chillin' with my...,0.006434699714013346
2,Ariana Grande,0.3020494196292127,I Have Nothing," Share my life, take me for what I am. 'Cause I'll never change all my colors for you. Take my love,...",0.002226027397260274
2,Ariana Grande,0.3020494196292127,Hide and Seek, Where are we? What the hell is going on?. The dust has only just begun to fall. Crop circles in the...,-0.0005126452494873548
2,Ariana Grande,0.3020494196292127,Have Yourself A Merry Little Christmas, Have yourself a merry little Christmas. Let your heart be light. From now on your troubles will be ...,0.006426735218508998
2,Ariana Grande,0.3020494196292127,Gimme Some Lovin'," Well, my temperature's risin'. Got my feet on the floor. With crazy people rocking 'cause they wann...",0.004807692307692308
2,Ariana Grande,0.3020494196292127,Grenade," Easy come, easy go, that's just how you live . Oh, take, take, take it all but you never give . Sho...",0.0
